"Name","Platform","Year_of_Release","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Prom_Score","Sales",""
"Disney Magic World 2","3DS","2015","Action","20","110","190","10","340","NA","NA","NA","NA","NA","0.1445885604933",""
"Angry Birds Star Wars","3DS","2013","Strategy","150","150","NA","30","340","NA","NA","30","8","NA","0.1445885604933",""
"Dragon Ball Heroes: Ultimate Mission 2 ","3DS","2014","Strategy","NA","NA","320","NA","320","NA","NA","NA","NA","NA","0.13608335105252",""
"Taiko Drum Master: Don and Katsu's Space-Time Great Adventure","3DS","2014","Action","NA","NA","310","NA","310","NA","NA","NA","NA","NA","0.13183074633213",""
"Shin Megami Tensei: Devil Summoner - Soul Hackers","3DS","2012","Role-Playing","130","20","140","10","310","NA","NA","NA","NA","NA","0.13183074633213",""
"Harvest Moon: The Tale of Two Towns","3DS","2010","Simulation","280","NA","NA","20","300","NA","NA","NA","NA","NA","0.12757814161174",""
"Disney Infinity","3DS","2013","Action","170","100","NA","20","290","NA","NA","NA","NA","NA","0.12332553689135",""
"Dragon Ball Heroes: Ultimate Mission","3DS","2013","Misc","NA","NA","290","NA","290","NA","NA","NA","NA","NA","0.12332553689135",""
"Sonic & All-Stars Racing Transformed","3DS","2012","Racing","120","140","NA","20","290","NA","NA","NA","NA","NA","0.12332553689135",""
"Monster Hunter Stories","3DS","2016","Action","NA","NA","280","NA","280","NA","NA","NA","NA","NA","0.11907293217095",""
"Moshi Monsters: Moshlings Theme Park","3DS","2012","Misc","130","130","NA","30","280","NA","NA","NA","NA","NA","0.11907293217095",""
"Skylanders: Trap Team","3DS","2014","Action","160","100","NA","20","280","NA","NA","34","5","NA","0.11907293217095",""
"Kobitodzukan: Kobito Kansatsu Set","3DS","2012","Misc","NA","NA","280","NA","280","NA","NA","NA","NA","NA","0.11907293217095",""
"Ace Attorney 6","3DS","2016","Adventure","NA","NA","270","NA","270","NA","NA","NA","NA","NA","0.11482032745056",""
"Rhythm Thief & the Emperor's Treasure","3DS","2012","Misc","70","70","120","10","270","NA","NA","NA","NA","NA","0.11482032745056",""
"Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Mono Sugoku Nou o Kitaeru 5-Funkan no Oni Training","3DS","2012","Action","NA","NA","270","NA","270","NA","NA","NA","NA","NA","0.11482032745056",""
"Aikatsu! 2-nin no My Princess","3DS","2013","Action","NA","NA","260","NA","260","NA","NA","NA","NA","NA","0.11056772273017",""
"Inazuma Eleven GO 3: Galaxy","3DS","2013","Sports","NA","NA","260","NA","260","NA","NA","NA","NA","NA","0.11056772273017",""
"Zoo Resort 3D","3DS","2011","Simulation","110","90","30","20","250","NA","NA","NA","NA","NA","0.10631511800978",""
"How to Train Your Dragon 2","3DS","2014","Adventure","40","190","NA","20","250","NA","NA","NA","NA","NA","0.10631511800978",""
"Chibi-Robo! Zip Lash","3DS","2015","Platform","90","80","60","20","240","NA","NA","NA","NA","NA","0.10206251328939",""
"LEGO The Hobbit","3DS","2014","Action","100","120","NA","20","240","NA","NA","NA","NA","NA","0.10206251328939",""
"FIFA 14","3DS","2013","Sports","NA","220","NA","10","240","NA","NA","NA","NA","NA","0.10206251328939",""
"Girls Mode 3: Kirakira Code","3DS","2015","Action","NA","NA","230","NA","230","NA","NA","NA","NA","NA","0.097809908568999",""
"Wipeout 2","3DS","2011","Misc","220","NA","NA","10","230","NA","NA","NA","NA","NA","0.097809908568999",""
"Cars 2","3DS","2011","Racing","210","NA","NA","20","230","NA","NA","NA","NA","NA","0.097809908568999",""
"Puzzle & Dragons X: God Chapter / Dragon Chapter","3DS","2016","Action","NA","NA","220","NA","220","NA","NA","NA","NA","NA","0.093557303848607",""
"Hatsune Miku: Project Mirai 2","3DS","2013","Action","NA","NA","220","NA","220","NA","NA","NA","NA","NA","0.093557303848607",""
"Transformers: Dark of the Moon","3DS","2011","Action","160","40","NA","20","210","NA","NA","NA","NA","NA","0.089304699128216",""
"Magician's Quest: Town of Magic","3DS","2012","Simulation","NA","NA","210","NA","210","NA","NA","NA","NA","NA","0.089304699128216",""
"LEGO Ninjago: Shadow of Ronin","3DS","2015","Action","50","110","40","10","210","NA","NA","NA","NA","NA","0.089304699128216",""
"Little Battlers eXperience: Baku Boost","3DS","2012","Action","NA","NA","210","NA","210","NA","NA","NA","NA","NA","0.089304699128216",""
"WipeOut 3 The Game","3DS","2012","Action","180","NA","NA","20","200","NA","NA","NA","NA","NA","0.085052094407825",""
"Story of Seasons: Good Friends of the Three Villages","3DS","2016","Simulation","NA","NA","200","NA","200","NA","NA","NA","NA","NA","0.085052094407825",""
"Aikatsu! Cinderella Lesson","3DS","2012","Role-Playing","NA","NA","200","NA","200","NA","NA","NA","NA","NA","0.085052094407825",""
"The Amazing Spider-Man (Console Version)","3DS","2012","Action","150","30","NA","10","190","NA","NA","NA","NA","NA","0.080799489687434",""
"Shin Megami Tensei IV: Final","3DS","2016","Role-Playing","50","NA","140","10","190","NA","NA","NA","NA","NA","0.080799489687434",""
"Pac-Man & Galaga Dimensions","3DS","2011","Misc","100","40","40","10","190","NA","NA","NA","NA","NA","0.080799489687434",""
"Great Phoenix Wright: Ace Attorney - Naruhodou Ryuunosuke no Bouken","3DS","2015","Action","NA","NA","190","NA","190","NA","NA","NA","NA","NA","0.080799489687434",""
"New Love Plus","3DS","2012","Simulation","NA","NA","190","NA","190","NA","NA","NA","NA","NA","0.080799489687434",""
"Pet Zombies","3DS","2011","Simulation","180","NA","NA","10","190","NA","NA","NA","NA","NA","0.080799489687434",""
"NASCAR Unleashed","3DS","2011","Racing","180","NA","NA","10","190","NA","NA","NA","NA","NA","0.080799489687434",""
"Reel Fishing Paradise 3D","3DS","2011","Sports","120","NA","60","10","190","57","5","NA","NA","NA","0.080799489687434",""
"Kuma-Tomo","3DS","2013","Misc","NA","NA","190","NA","190","NA","NA","NA","NA","NA","0.080799489687434",""
"Pro Evolution Soccer 2014","3DS","2013","Action","NA","NA","190","NA","190","NA","NA","NA","NA","NA","0.080799489687434",""
"Hatsune Miku and Future Stars: Project Mirai","3DS","2012","Misc","NA","NA","180","NA","180","NA","NA","NA","NA","NA","0.076546884967042",""
"Super Robot Taisen UX","3DS","2013","Role-Playing","NA","NA","180","NA","180","NA","NA","NA","NA","NA","0.076546884967042",""
"Daigasso! Band Brothers P","3DS","2013","Misc","NA","NA","180","NA","180","NA","NA","NA","NA","NA","0.076546884967042",""
"Pro Evolution Soccer 2013","3DS","2012","Sports","50","20","100","10","180","NA","NA","NA","NA","NA","0.076546884967042",""
"Transformers: Prime","3DS","2012","Action","130","20","NA","20","170","NA","NA","NA","NA","NA","0.072294280246651",""
"Yu-Gi-Oh! Zexal World Duel Carnival","3DS","2013","Misc","NA","80","80","10","170","NA","NA","NA","NA","NA","0.072294280246651",""
"Project X Zone 2: Brave New World","3DS","2015","Role-Playing","50","30","80","10","170","NA","NA","NA","NA","NA","0.072294280246651",""
"Michael Jackson: The Experience 3D","3DS","2011","Misc","130","30","NA","10","170","NA","NA","NA","NA","NA","0.072294280246651",""
"Sumikko Gurashi: Koko ga Ochitsukundesu","3DS","2014","Action","NA","NA","170","NA","170","NA","NA","NA","NA","NA","0.072294280246651",""
"Dragon Quest X","3DS","2014","Role-Playing","NA","NA","170","NA","170","NA","NA","NA","NA","NA","0.072294280246651",""
"SD Gundam G Generation 3D","3DS","2011","Role-Playing","NA","NA","160","NA","160","NA","NA","NA","NA","NA","0.06804167552626",""
"Culdcept","3DS","2012","Misc","NA","NA","160","NA","160","NA","NA","NA","NA","NA","0.06804167552626",""
"Harvest Moon: The Lost Valley","3DS","2014","Simulation","130","10","NA","20","160","NA","NA","NA","NA","NA","0.06804167552626",""
"Toriko: Gourmet Monsters!","3DS","2012","Role-Playing","NA","NA","160","NA","160","NA","NA","NA","NA","NA","0.06804167552626",""
"Senran Kagura: Sh?jo-tachi no Shinei","3DS","2011","Action","NA","NA","160","NA","160","NA","NA","NA","NA","NA","0.06804167552626",""
"Theatrhythm Dragon Quest","3DS","2015","Misc","NA","NA","150","NA","150","NA","NA","NA","NA","NA","0.063789070805869",""
"Adventure Time: Explore the Dungeon Because I Don't Know!","3DS","2013","Action","100","30","NA","10","150","NA","NA","NA","NA","NA","0.063789070805869",""
"Castlevania: Lords of Shadow - Mirror of Fate","3DS","2013","Action","40","70","30","10","150","NA","NA","NA","NA","NA","0.063789070805869",""
"Sumikko Gurashi: Omise Hajimerundesu","3DS","2015","Action","NA","NA","150","NA","150","NA","NA","NA","NA","NA","0.063789070805869",""
"Hoppechan: Tsukutte! Asonde! Punipuni Town!!","3DS","2013","Action","NA","NA","150","NA","150","NA","NA","NA","NA","NA","0.063789070805869",""
"Derby Stallion Gold","3DS","2014","Sports","NA","NA","140","NA","140","NA","NA","NA","NA","NA","0.059536466085477",""
"Famista Returns","3DS","2015","Sports","NA","NA","140","NA","140","NA","NA","NA","NA","NA","0.059536466085477",""
"Senran Kagura Burst: Guren no Sh?jo-tachi","3DS","2012","Action","NA","NA","140","NA","140","NA","NA","NA","NA","NA","0.059536466085477",""
"Ben 10 Galactic Racing","3DS","2011","Racing","70","70","NA","10","140","NA","NA","NA","NA","NA","0.059536466085477",""
"Monster Hunter Diary: Poka Poka Airou Village DX","3DS","2015","Action","NA","NA","140","NA","140","NA","NA","NA","NA","NA","0.059536466085477",""
"Farming Simulator 2012","3DS","2012","Action","NA","120","NA","10","140","NA","NA","NA","NA","NA","0.059536466085477",""
"Medalot 7","3DS","2012","Action","NA","NA","130","NA","130","NA","NA","NA","NA","NA","0.055283861365086",""
"Imagine: Fashion Designer","3DS","2011","Simulation","100","20","NA","10","130","NA","NA","NA","NA","NA","0.055283861365086",""
"Teenage Mutant Ninja Turtles: Danger of the Ooze","3DS","2014","Adventure","80","40","NA","10","130","NA","NA","NA","NA","NA","0.055283861365086",""
"Super Robot Wars BX","3DS","2015","Action","NA","NA","130","NA","130","NA","NA","NA","NA","NA","0.055283861365086",""
"The Oregon Trail","3DS","2011","Simulation","120","NA","NA","10","130","NA","NA","NA","NA","NA","0.055283861365086",""
"Slime MoriMori Dragon Quest 3: Taikaizoku to Shippo Dan","3DS","2011","Role-Playing","NA","NA","130","NA","130","NA","NA","NA","NA","NA","0.055283861365086",""
"Puyo Puyo!! 20th Anniversary","3DS","2011","Puzzle","NA","NA","130","NA","130","NA","NA","NA","NA","NA","0.055283861365086",""
"Assassination Classroom: Grand Siege on Kuro-sensei","3DS","2015","Action","NA","NA","130","NA","130","NA","NA","NA","NA","NA","0.055283861365086",""
"Puppies 3D","3DS","2011","Misc","80","40","NA","10","130","NA","NA","NA","NA","NA","0.055283861365086",""
"Aikatsu! 365 Idol Days","3DS","2014","Adventure","NA","NA","130","NA","130","NA","NA","NA","NA","NA","0.055283861365086",""
"Little Battlers eXperience: Wars","3DS","2013","Strategy","NA","NA","130","NA","130","NA","NA","NA","NA","NA","0.055283861365086",""
"Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi","3DS","2014","Misc","NA","NA","120","NA","120","NA","NA","NA","NA","NA","0.051031256644695",""
"Etrian Odyssey V","3DS","2016","Role-Playing","NA","NA","120","NA","120","NA","NA","NA","NA","NA","0.051031256644695",""
"Lego Star Wars: The Force Awakens","3DS","2016","Action","40","70","10","10","120","NA","NA","78","9","NA","0.051031256644695",""
"Shin Megami Tensei: Devil Survivor 2","3DS","2015","Role-Playing","NA","20","90","NA","120","NA","NA","NA","NA","NA","0.051031256644695",""
"DreamWorks Super Star Kartz","3DS","2011","Racing","80","30","NA","10","120","NA","NA","NA","NA","NA","0.051031256644695",""
"Skylanders: SuperChargers","3DS","2015","Action","50","60","NA","10","120","NA","NA","NA","NA","NA","0.051031256644695",""
"Deca Sports Extreme","3DS","2011","Sports","80","NA","30","10","120","52","6","NA","NA","NA","0.051031256644695",""
"One Piece: Super Grand Battle! X","3DS","2014","Fighting","NA","NA","120","NA","120","NA","NA","NA","NA","NA","0.051031256644695",""
"Jaws: Ultimate Predator","3DS","2011","Action","110","NA","NA","10","120","NA","NA","NA","NA","NA","0.051031256644695",""
"Brunswick Pro Bowling","3DS","2011","Sports","110","NA","NA","10","120","NA","NA","NA","NA","NA","0.051031256644695",""
"Pocket Soccer League: Calciobit","3DS","2012","Sports","NA","NA","110","NA","110","NA","NA","NA","NA","NA","0.046778651924304",""
"Puyo Puyo Tetris","3DS","2014","Puzzle","NA","NA","110","NA","110","NA","NA","NA","NA","NA","0.046778651924304",""
"Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi","3DS","2015","Action","NA","NA","110","NA","110","NA","NA","NA","NA","NA","0.046778651924304",""
"Funky Barn","3DS","2012","Simulation","70","30","NA","10","110","NA","NA","NA","NA","NA","0.046778651924304",""
"Happy Feet Two","3DS","2011","Action","80","20","NA","10","110","NA","NA","NA","NA","NA","0.046778651924304",""
"NCIS 3D","3DS","2011","Adventure","60","40","NA","10","110","NA","NA","NA","NA","NA","0.046778651924304",""
"PriPara Mezase! Idol Grand Prix No.1!","3DS","2015","Misc","NA","NA","110","NA","110","NA","NA","NA","NA","NA","0.046778651924304",""
"DualPenSports","3DS","2011","Sports","50","50","NA","10","110","58","NA","NA","NA","NA","0.046778651924304",""
"AKB48+Me","3DS","2012","Action","NA","NA","110","NA","110","NA","NA","NA","NA","NA","0.046778651924304",""
"Picross 3D 2","3DS","2015","Puzzle","NA","NA","110","NA","110","NA","NA","NA","NA","NA","0.046778651924304",""
"Tales of the World: Reve Unitia","3DS","2014","Role-Playing","NA","NA","110","NA","110","NA","NA","NA","NA","NA","0.046778651924304",""
"Naruto Shippuden 3D: The New Era","3DS","2011","Action","NA","40","60","10","110","NA","NA","NA","NA","NA","0.046778651924304",""
"Taiko no Tatsujin: Don Don! Mystery Adventure","3DS","2016","Action","NA","NA","100","NA","100","NA","NA","NA","NA","NA","0.042526047203912",""
"Etrian Odyssey II: Heroes of Lagaard","3DS","2014","Role-Playing","NA","NA","100","NA","100","NA","NA","NA","NA","NA","0.042526047203912",""
"Little Battlers eXperience W","3DS","2013","Role-Playing","NA","NA","100","NA","100","NA","NA","NA","NA","NA","0.042526047203912",""
"Samurai Warriors Chronicles 2nd","3DS","2012","Action","NA","NA","100","NA","100","NA","NA","NA","NA","NA","0.042526047203912",""
"Generator Rex: Agent of Providence","3DS","2011","Action","70","20","NA","10","100","NA","NA","NA","NA","NA","0.042526047203912",""
"Marvel Super Hero Squad: The Infinity Gauntlet","3DS","2011","Action","70","20","NA","10","100","54","4","NA","NA","NA","0.042526047203912",""
"Etrian Odyssey 2 Untold: Knight of Fafnir","3DS","2014","Role-Playing","70","20","NA","10","100","NA","NA","NA","NA","NA","0.042526047203912",""
"Kuroko's Basketball: Miracle Game","3DS","2014","Sports","NA","NA","100","NA","100","NA","NA","NA","NA","NA","0.042526047203912",""
"Disney Planes Fire & Rescue","3DS","2014","Action","10","80","NA","10","90","NA","NA","NA","NA","NA","0.038273442483521",""
"Ouchi Mainichi Tamagotchi","3DS","2012","Action","NA","NA","90","NA","90","NA","NA","NA","NA","NA","0.038273442483521",""
"PAC-MAN and the Ghostly Adventures","3DS","2013","Platform","50","40","NA","10","90","NA","NA","NA","NA","NA","0.038273442483521",""
"Sonic Boom: Fire & Ice","3DS","2016","Platform","50","30","NA","10","90","NA","NA","NA","NA","NA","0.038273442483521",""
"Cardfight!! Vanguard: Ride to Victory","3DS","2013","Misc","NA","NA","90","NA","90","NA","NA","NA","NA","NA","0.038273442483521",""
"Carnival Games: Wild West 3D","3DS","2011","Misc","60","20","NA","10","90","NA","NA","NA","NA","NA","0.038273442483521",""
"Digimon World Re:Digitize Decode","3DS","2013","Role-Playing","NA","NA","90","NA","90","NA","NA","NA","NA","NA","0.038273442483521",""
"Kuroko's Basketball: Ties to Future","3DS","2015","Action","NA","NA","90","NA","90","NA","NA","NA","NA","NA","0.038273442483521",""
"Inazuma Eleven 3","3DS","2013","Role-Playing","NA","80","NA","NA","90","NA","NA","NA","NA","NA","0.038273442483521",""
"Lost Heroes","3DS","2012","Role-Playing","NA","NA","90","NA","90","NA","NA","NA","NA","NA","0.038273442483521",""
"Adventure Time: Finn & Jake Investigations","3DS","2015","Action","30","50","NA","10","80","NA","NA","NA","NA","NA","0.03402083776313",""
"The Seven Deadly Sins: Unjust Sin","3DS","2015","Adventure","NA","NA","80","NA","80","NA","NA","NA","NA","NA","0.03402083776313",""
"Nikoli's Pencil Puzzle","3DS","2011","Puzzle","50","30","NA","10","80","60","7","NA","NA","NA","0.03402083776313",""
"Gundam the 3D Battle","3DS","2011","Action","NA","NA","80","NA","80","NA","NA","NA","NA","NA","0.03402083776313",""
"Face Racers: Photo Finish","3DS","2011","Racing","80","NA","NA","10","80","NA","NA","NA","NA","NA","0.03402083776313",""
"Kamen Rider: Travelers Senki","3DS","2013","Action","NA","NA","80","NA","80","NA","NA","NA","NA","NA","0.03402083776313",""
"Pretty Rhythm: My Deco Rainbow Wedding","3DS","2013","Misc","NA","NA","80","NA","80","NA","NA","NA","NA","NA","0.03402083776313",""
"One Piece: Romance Dawn - Bouken no Yoake","3DS","2013","Fighting","NA","NA","80","NA","80","NA","NA","NA","NA","NA","0.03402083776313",""
"Pretty Rhythm Rainbow Live: Kira Kira My * Design","3DS","2013","Misc","NA","NA","80","NA","80","NA","NA","NA","NA","NA","0.03402083776313",""
"The Hidden","3DS","1987","Adventure","80","NA","NA","10","80","NA","NA","42","5","NA","0.03402083776313",""
"Puzzler Mind Gym 3D","3DS","2011","Puzzle","70","NA","NA","10","80","50","5","NA","NA","NA","0.03402083776313",""
"Kobitodzukan: Kobito no Fushigi - Jikken Set","3DS","2013","Misc","NA","NA","80","NA","80","NA","NA","NA","NA","NA","0.03402083776313",""
"Doraemon: Nobita and the Island of Miracles","3DS","2012","Action","NA","NA","80","NA","80","NA","NA","NA","NA","NA","0.03402083776313",""
"Pac-Man and the Ghostly Adventures 2","3DS","2014","Adventure","30","40","NA","10","80","60","6","NA","NA","NA","0.03402083776313",""
"Medabots Dual: Kabuto / Kuwagata","3DS","2013","Role-Playing","NA","NA","80","NA","80","NA","NA","NA","NA","NA","0.03402083776313",""
"Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima","3DS","2012","Action","NA","NA","80","NA","80","NA","NA","NA","NA","NA","0.03402083776313",""
"Sumikko Gurashi: Mura o Tsukurundesu","3DS","2016","Misc","NA","NA","80","NA","80","NA","NA","NA","NA","NA","0.03402083776313",""
"Aikatsu! My No.1 Stage!","3DS","2015","Misc","NA","NA","80","NA","80","NA","NA","NA","NA","NA","0.03402083776313",""
"Nicola Kanshuu: Model Oshare * Audition Platina","3DS","2012","Action","NA","NA","80","NA","80","NA","NA","NA","NA","NA","0.03402083776313",""
"Kenka Banchou 6: Soul & Blood","3DS","2015","Fighting","NA","NA","70","NA","70","NA","NA","NA","NA","NA","0.029768233042739",""
"Medabots 8","3DS","2014","Role-Playing","NA","NA","70","NA","70","NA","NA","NA","NA","NA","0.029768233042739",""
"Touch Detective: Nameko Shigeru","3DS","2013","Adventure","NA","NA","70","NA","70","NA","NA","NA","NA","NA","0.029768233042739",""
"Hero Bank","3DS","2014","Role-Playing","NA","NA","70","NA","70","NA","NA","NA","NA","NA","0.029768233042739",""
"Disney's Planes","3DS","2013","Simulation","40","30","NA","10","70","NA","NA","43","6","NA","0.029768233042739",""
"Model * Oshare Audition: Dream Girl","3DS","2013","Misc","NA","NA","70","NA","70","NA","NA","NA","NA","NA","0.029768233042739",""
"Petz Fantasy 3D","3DS","2011","Simulation","70","NA","NA","NA","70","NA","NA","NA","NA","NA","0.029768233042739",""
"E.X. Troopers","3DS","2012","Shooter","NA","NA","70","NA","70","NA","NA","NA","NA","NA","0.029768233042739",""
"J Legend Retsuden","3DS","2013","Misc","NA","NA","70","NA","70","NA","NA","NA","NA","NA","0.029768233042739",""
"Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi","3DS","2012","Action","NA","NA","70","NA","70","NA","NA","NA","NA","NA","0.029768233042739",""
"Magi: The Labyrinth of Beginning","3DS","2013","Role-Playing","NA","NA","70","NA","70","NA","NA","NA","NA","NA","0.029768233042739",""
"Haikyuu!! Tsunage! Itadaki no Keshiki!!","3DS","2014","Adventure","NA","NA","70","NA","70","NA","NA","NA","NA","NA","0.029768233042739",""
