"Name","Platform","Year_of_Release","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Prom_Score","Sales"
"Burnout 3: Takedown","PS2","2004","Racing","1230","1110","NA","340","2680","93","52","90","270","91.5","0.1808159657799"
"SSX 3","PS2","2003","Sports","930","520","NA","220","1670","93","40","90","25","91.5","0.1126726353927"
"Virtua Fighter 4: Evolution","PS2","2003","Fighting","350","270","NA","90","710","93","30","90","48","91.5","0.047902737202885"
"Red Dead Redemption","PS3","2010","Action","2790","2530","170","990","6490","95","73","88","2456","91.5","0.43787149922074"
"Metal Gear Solid: The Legacy Collection","PS3","2013","Adventure","310","10","30","60","400","93","4","90","255","91.5","0.02698745757909"
"Halo: Combat Evolved","XB","2001","Shooter","4980","1300","80","70","6430","97","68","86","283","91.5","0.43382338058387"
"Grand Theft Auto: San Andreas","PC","2005","Action","NA","930","NA","40","970","93","47","89","840","91","0.065444584629294"
"Mass Effect 2","PC","2010","Role-Playing","10","320","NA","60","390","94","55","88","3559","91","0.026312771139613"
"Warcraft III: Reign of Chaos","PC","2002","Strategy","30","90","NA","20","130","92","40","90","23","91","0.0087709237132043"
"Rome: Total War","PC","2004","Strategy","NA","90","NA","20","100","92","58","90","50","91","0.0067468643947725"
"Grand Theft Auto: Vice City","PC","2003","Action","NA","30","NA","10","40","94","30","88","520","91","0.002698745757909"
"Unreal Tournament 2004","PC","2004","Shooter","NA","10","NA","NA","20","93","48","89","537","91","0.0013493728789545"
"Grand Theft Auto: Vice City","PS2","2002","Action","8410","5490","470","1780","16150","95","62","87","730","91","1.0896185997558"
"Grand Theft Auto III","PS2","2001","Action","6990","4510","300","1300","13100","97","56","85","664","91","0.8838392357152"
"God of War II","PS2","2007","Action","2320","40","40","1670","4070","93","70","89","709","91","0.27459738086724"
"NCAA Football 2004","PS2","2003","Sports","1350","90","NA","230","1670","94","5","88","80","91","0.1126726353927"
"Batman: Arkham City","PS3","2011","Action","2710","1850","110","810","5480","96","42","86","2062","91","0.36972816883353"
"ESPN NFL 2K5","XB","2004","Sports","1540","20","NA","70","1630","92","42","90","93","91","0.10997388963479"
"The Witcher 3: Wild Hunt","XOne","2015","Role-Playing","690","500","NA","110","1310","90","3","92","3963","91","0.08838392357152"
"BioShock","PC","2007","Shooter","10","390","NA","20","410","96","44","85","3606","90.5","0.027662144018567"
"Company of Heroes","PC","2006","Strategy","NA","40","NA","10","50","93","55","88","28","90.5","0.0033734321973863"
"Left 4 Dead","PC","2008","Shooter","NA","20","NA","NA","20","89","58","92","3707","90.5","0.0013493728789545"
"SSX Tricky","PS2","2001","Sports","850","660","NA","220","1730","92","33","89","70","90.5","0.11672075402956"
"Metal Gear Solid 4: Guns of the Patriots","PS3","2008","Action","2630","1710","830","820","5990","94","82","87","3558","90.5","0.40413717724687"
"BioShock","PS3","2008","Shooter","750","460","10","200","1420","94","50","87","880","90.5","0.09580547440577"
"Batman: Arkham City","X360","2011","Action","2990","1270","40","420","4730","94","87","87","472","90.5","0.31912668587274"
"The Elder Scrolls IV: Oblivion","X360","2006","Role-Playing","2820","1030","130","400","4380","94","90","87","9","90.5","0.29551266049104"
"SoulCalibur II","XB","2003","Fighting","780","180","30","NA","1000","92","39","89","54","90.5","0.067468643947725"
"Ninja Gaiden Black","XB","2005","Action","70","20","NA","NA","90","94","32","87","20","90.5","0.0060721779552953"
"World Soccer Winning Eleven 8 International","PS2","2004","Sports","160","1890","1120","680","3850","90","26","90","38","90","0.25975427919874"
"Prince of Persia: The Sands of Time","PS2","2003","Action","880","1030","NA","310","2220","92","44","88","204","90","0.14978038956395"
"SoulCalibur II","PS2","2003","Fighting","1060","620","130","250","2060","92","40","88","20","90","0.13898540653231"
"Shadow of the Colossus","PS2","2005","Action","780","30","200","130","1140","90","77","90","933","90","0.076914254100407"
"Klonoa 2: Lunatea's Veil","PS2","2001","Platform","120","100","80","30","330","90","8","90","72","90","0.022264652502749"
"Journey","PS3","2012","Adventure","40","130","NA","40","210","92","78","88","380","90","0.014168415229022"
"Grand Theft Auto V","PS4","2014","Action","3960","6310","380","1970","12610","97","66","83","2899","90","0.85077960018082"
"The Elder Scrolls V: Skyrim","X360","2011","Role-Playing","5050","2790","100","850","8790","96","89","84","3589","90","0.59304938030051"
"Portal 2","X360","2011","Shooter","1410","490","10","170","2080","95","66","85","997","90","0.14033477941127"
"BioShock Infinite","PC","2013","Shooter","290","300","NA","70","660","94","68","85","7322","89.5","0.044529305005499"
"Rise of Nations","PC","2003","Strategy","10","20","NA","10","40","89","30","90","274","89.5","0.002698745757909"
"Max Payne","PC","2001","Shooter","NA","20","NA","NA","20","89","32","90","6","89.5","0.0013493728789545"
"Gran Turismo 3: A-Spec","PS2","2001","Racing","6850","5090","1870","1160","14980","95","54","84","304","89.5","1.0106802863369"
"Final Fantasy X","PS2","2001","Role-Playing","2910","2070","2730","330","8050","92","53","87","56","89.5","0.54312258377919"
"Madden NFL 2004","PS2","2003","Sports","4260","260","10","710","5230","94","29","85","40","89.5","0.3528610078466"
"Tony Hawk's Pro Skater 4","PS2","2002","Sports","2130","1180","10","350","3670","94","27","85","28","89.5","0.24760992328815"
"Ace Combat 04: Shattered Skies","PS2","2001","Simulation","2060","560","380","170","3170","89","22","90","95","89.5","0.21387560131429"
"Devil May Cry","PS2","2001","Action","1360","860","640","130","2990","94","37","85","466","89.5","0.2017312454037"
"Shin Megami Tensei: Persona 4","PS2","2008","Role-Playing","340","40","360","80","820","90","47","89","634","89.5","0.055324288037135"
"Grand Theft Auto V","PS3","2013","Action","7020","9090","980","3960","21040","97","50","82","3994","89.5","1.4195402686601"
"God of War III","PS3","2010","Action","2740","1330","120","610","4800","92","NA","87","2633","89.5","0.32384949094908"
"Batman: Arkham Asylum","PS3","2009","Action","2240","1310","70","610","4230","90","70","89","22","89.5","0.28539236389888"
"Portal 2","PS3","2011","Shooter","830","600","20","240","1700","95","54","84","937","89.5","0.11469669471113"
"BioShock Infinite","PS3","2013","Shooter","720","650","40","280","1690","94","27","85","863","89.5","0.11402200827166"
"Mass Effect 2","PS3","2011","Role-Playing","780","450","30","190","1450","94","62","85","80","89.5","0.097829533724202"
"Batman: Arkham Asylum","X360","2009","Action","2200","950","20","310","3480","92","78","87","80","89.5","0.23479088093808"
"Grand Theft Auto: San Andreas","XB","2005","Action","1260","610","NA","90","1950","93","58","86","8","89.5","0.13156385569806"
"Tom Clancy's Splinter Cell: Pandora Tomorrow","XB","2004","Action","820","590","NA","70","1480","93","74","86","68","89.5","0.099853593042633"
"SSX 3","XB","2003","Sports","290","80","NA","10","390","92","27","87","25","89.5","0.026312771139613"
"ESPN NFL Football","XB","2003","Sports","270","80","NA","10","360","90","25","89","45","89.5","0.024288711821181"
"Warcraft III: The Frozen Throne","PC","2003","Strategy","580","870","NA","90","1540","88","23","90","703","89","0.1039017116795"
"The Sims 2","PC","2004","Simulation","20","240","NA","40","290","90","60","88","676","89","0.01956590674484"
"Age of Mythology","PC","2002","Strategy","20","60","NA","10","90","89","30","89","484","89","0.0060721779552953"
"Mafia","PC","2002","Action","NA","40","NA","10","40","88","27","90","863","89","0.002698745757909"
"IL-2 Sturmovik","PC","2001","Simulation","NA","10","NA","NA","10","90","2","88","30","89","0.00067468643947725"
"NBA Street Vol. 2","PS2","2003","Sports","1690","200","NA","60","1950","90","30","88","70","89","0.13156385569806"
"Sly 2: Band of Thieves","PS2","2004","Platform","880","690","NA","230","1810","88","64","90","78","89","0.12211824554538"
"Silent Hill 2","PS2","2001","Action","620","490","NA","160","1280","89","34","89","557","89","0.086359864253088"
"Burnout Revenge","PS2","2005","Racing","750","30","NA","120","900","90","52","88","4","89","0.060721779552953"
"Fight Night Round 2","PS2","2005","Fighting","720","30","NA","120","870","88","37","90","37","89","0.058697720234521"
"TimeSplitters 2","PS2","2002","Shooter","340","270","NA","90","700","90","33","88","27","89","0.047228050763408"
"ICO","PS2","2001","Action","230","180","NA","60","470","90","59","88","328","89","0.031710262655431"
"Call of Duty 4: Modern Warfare","PS3","2007","Shooter","3110","2260","280","1030","6680","94","44","84","993","89","0.45069054157081"
"Demon's Souls","PS3","2009","Role-Playing","970","330","350","170","1820","89","80","89","440","89","0.12279293198486"
"Bloodborne","PS4","2015","Action","1030","810","260","380","2480","92","NA","86","6383","89","0.16732223699036"
"Call of Duty 4: Modern Warfare","X360","2007","Shooter","5930","2360","130","900","9310","94","70","84","320","89","0.62813307515332"
"Assassin's Creed II","X360","2009","Action","3110","1550","80","510","5260","90","82","88","305","89","0.35488506716504"
"Fallout 3","X360","2008","Role-Playing","3400","990","90","450","4930","93","84","85","655","89","0.33262041466229"
"BioShock Infinite","X360","2013","Shooter","1220","540","20","160","1930","93","33","85","647","89","0.13021448281911"
"Tom Clancy's Splinter Cell","XB","2002","Action","1850","1040","NA","130","3020","93","46","85","20","89","0.20375530472213"
"Ninja Gaiden","XB","2004","Action","920","200","70","40","1230","90","89","88","52","89","0.082986432055702"
"The Chronicles of Riddick: Escape from Butcher Bay","XB","2004","Shooter","320","110","NA","20","450","89","84","89","85","89","0.030360889776476"
"NBA Street V3","XB","2005","Sports","280","30","NA","10","320","89","40","89","NA","89","0.021589966063272"
"Oddworld: Stranger's Wrath","XB","2005","Adventure","190","60","NA","10","260","88","65","90","58","89","0.017541847426409"
"Psychonauts","XB","2005","Platform","90","30","NA","NA","120","88","54","90","70","89","0.008096237273727"
"Call of Duty 4: Modern Warfare","PC","2007","Shooter","NA","1120","NA","30","1150","92","40","85","2360","88.5","0.077588940539884"
"Diablo II: Lord of Destruction","PC","2001","Role-Playing","1030","20","NA","NA","1060","87","20","90","639","88.5","0.071516762584589"
"Batman: Arkham Asylum","PC","2009","Action","NA","280","NA","50","320","90","29","87","736","88.5","0.021589966063272"
"Sid Meier's Civilization IV","PC","2005","Strategy","20","120","NA","30","160","94","50","83","909","88.5","0.010794983031636"
"Medieval II: Total War","PC","2006","Strategy","NA","80","NA","20","100","88","39","89","648","88.5","0.0067468643947725"
"Counter-Strike: Source","PC","2004","Shooter","NA","70","NA","20","80","88","9","89","9850","88.5","0.005397491515818"
"Football Manager 2010","PC","2009","Sports","NA","60","NA","10","70","87","33","90","262","88.5","0.0047228050763408"
"Grand Theft Auto III","PC","2002","Action","NA","10","NA","NA","10","93","20","84","805","88.5","0.00067468643947725"
"Dragon Quest VIII: Journey of the Cursed King","PS2","2004","Role-Playing","650","750","3610","200","5210","89","63","88","245","88.5","0.35151163496765"
"Guitar Hero II","PS2","2006","Misc","3810","630","NA","680","5120","92","69","85","2","88.5","0.34543945701235"
"Kingdom Hearts II","PS2","2005","Role-Playing","2200","580","1380","170","4330","87","64","90","766","88.5","0.29213922829365"
"Tony Hawk's Underground","PS2","2003","Sports","2290","1170","10","420","3900","90","38","87","20","88.5","0.26312771139613"
"Jak and Daxter: The Precursor Legacy","PS2","2001","Platform","2080","1090","150","330","3640","90","35","87","302","88.5","0.24558586396972"
"SOCOM II: U.S. Navy SEALs","PS2","2003","Shooter","2220","510","60","150","2940","87","42","90","93","88.5","0.19835781320631"
"Guitar Hero","PS2","2005","Misc","1670","610","30","70","2380","90","65","87","73","88.5","0.16057537259559"
"Tiger Woods PGA Tour 2003","PS2","2002","Sports","800","630","NA","210","1640","88","8","89","8","88.5","0.11064857607427"
"Tiger Woods PGA Tour 2004","PS2","2003","Sports","1180","340","NA","100","1630","89","23","88","40","88.5","0.10997388963479"
"NCAA Football 2002","PS2","2001","Sports","770","600","NA","200","1570","90","8","87","24","88.5","0.10592577099793"
"NHL 2002","PS2","2001","Sports","590","460","NA","150","1200","92","22","85","26","88.5","0.08096237273727"
"NASCAR Thunder 2004","PS2","2003","Racing","530","410","NA","140","1080","88","5","89","77","88.5","0.072866135463543"
"Dark Cloud 2","PS2","2002","Role-Playing","380","250","260","70","960","87","40","90","74","88.5","0.064769898189816"
"Bully","PS2","2006","Action","750","30","40","120","940","87","69","90","293","88.5","0.063420525310862"
"Metal Gear Solid 2: Substance","PS2","2002","Action","180","140","160","50","520","87","7","90","26","88.5","0.035083694852817"
"God of War Collection","PS3","2009","Action","1700","440","60","400","2600","90","50","87","529","88.5","0.17541847426409"
"Rayman Legends","PS3","2013","Platform","140","340","NA","100","580","90","23","87","300","88.5","0.039131813489681"
"Dark Souls III","PS4","2016","Role-Playing","650","450","340","220","1650","89","69","88","940","88.5","0.11132326251375"
"Grand Theft Auto V","X360","2013","Action","9660","5140","60","1410","16270","97","58","80","3700","88.5","1.0977148370295"
"Grand Theft Auto IV","X360","2008","Action","6760","3070","140","1030","11010","98","86","79","2950","88.5","0.74282976986446"
"Gears of War","X360","2006","Shooter","3540","1880","70","600","6090","94","88","83","2295","88.5","0.41088404164165"
"Mass Effect","X360","2007","Role-Playing","1830","790","30","270","2910","90","74","87","692","88.5","0.19633375388788"
"Halo 2","XB","2004","Shooter","6820","1530","50","80","8490","95","90","82","208","88.5","0.57280878711619"
"Tiger Woods PGA Tour 2005","XB","2004","Sports","640","180","NA","30","850","88","26","89","4","88.5","0.057348347355567"
"NBA Street Vol. 2","XB","2003","Sports","620","40","NA","20","680","89","22","88","24","88.5","0.045878677884453"
"Tony Hawk's Pro Skater 3","XB","2002","Sports","340","180","NA","20","550","93","22","84","7","88.5","0.037107754171249"
"RalliSport Challenge 2","XB","2004","Racing","180","80","NA","10","270","87","69","90","33","88.5","0.018216533865886"
"NHL 2002","XB","2001","Sports","200","60","NA","10","270","89","7","88","5","88.5","0.018216533865886"
"Batman: Arkham City","PC","2011","Action","160","280","NA","90","530","90","27","86","847","88","0.035758381292294"
"Dragon Age: Origins","PC","2009","Role-Playing","NA","460","NA","50","510","90","67","86","3542","88","0.03440900841334"
"Diablo II","PC","2000","Role-Playing","10","100","NA","20","130","88","34","88","56","88","0.0087709237132043"
"Plants vs. Zombies","PC","2009","Strategy","NA","40","NA","10","50","87","40","89","890","88","0.0033734321973863"
"Braid","PC","2009","Platform","NA","20","NA","NA","30","90","NA","86","809","88","0.0020240593184318"
"Max Payne 2: The Fall of Max Payne","PC","2003","Shooter","NA","20","NA","NA","30","86","46","90","802","88","0.0020240593184318"
"Falcon 4.0: Allied Force","PC","2005","Simulation","NA","20","NA","NA","20","90","7","86","37","88","0.0013493728789545"
"SSX","PS2","2000","Sports","780","610","60","200","1660","93","35","83","33","88","0.11199794895322"
"NCAA Football 2005","PS2","2004","Sports","1320","90","NA","220","1620","88","29","88","35","88","0.10929920319531"
"NCAA Football 2003","PS2","2002","Sports","1160","80","NA","190","1440","90","9","86","27","88","0.097154847284724"
"MVP Baseball 2004","PS2","2004","Sports","1100","60","NA","180","1340","90","28","86","50","88","0.090407982889952"
"NBA Street V3","PS2","2005","Sports","520","410","NA","140","1060","89","36","87","37","88","0.071516762584589"
"Katamari Damacy","PS2","2004","Puzzle","470","20","170","80","730","86","55","90","86","88","0.049252110081839"
"Assassin's Creed II","PS3","2009","Action","2540","1930","210","860","5550","90","70","86","202","88","0.37445097390988"
"Dark Souls","PS3","2011","Role-Playing","750","510","540","220","2020","89","54","87","397","88","0.13628666077441"
"Dead Space","PS3","2008","Action","1050","660","NA","290","2000","88","67","88","545","88","0.13493728789545"
"Rock Band","PS3","2008","Misc","990","410","NA","220","1620","92","35","84","7","88","0.10929920319531"
"Far Cry 3","X360","2012","Shooter","1380","1320","20","280","3000","90","39","86","247","88","0.20240593184318"
"Dead Space 2","X360","2011","Shooter","940","440","NA","130","1510","90","83","86","679","88","0.10187765236107"
"Dead Space","X360","2008","Action","890","390","NA","130","1400","89","79","87","768","88","0.094456101526815"
"Crimson Skies: High Road to Revenge","XB","2003","Simulation","650","190","NA","30","870","88","49","88","45","88","0.058697720234521"
"Half-Life 2","XB","2005","Shooter","370","210","NA","30","610","90","35","86","5","88","0.041155872808112"
"Fight Night Round 2","XB","2005","Fighting","420","160","NA","20","600","88","48","88","27","88","0.040481186368635"
"NCAA Football 2004","XB","2003","Sports","400","20","NA","20","430","88","3","88","9","88","0.029011516897522"
"Grand Theft Auto V","XOne","2014","Action","2810","2190","NA","470","5480","97","4","79","764","88","0.36972816883353"
"StarCraft II: Wings of Liberty","PC","2010","Strategy","2570","1680","NA","580","4840","93","82","82","3052","87.5","0.32654823670699"
"Grand Theft Auto V","PC","2015","Action","390","690","NA","90","1170","96","57","79","3756","87.5","0.078938313418839"
"Mass Effect","PC","2008","Role-Playing","NA","590","NA","80","670","89","45","86","2386","87.5","0.045203991444976"
"Deus Ex: Human Revolution","PC","2011","Shooter","250","250","NA","80","580","90","52","85","3069","87.5","0.039131813489681"
"Dark Souls III","PC","2016","Role-Playing","NA","70","NA","NA","70","89","56","86","848","87.5","0.0047228050763408"
"Freelancer","PC","2003","Simulation","20","20","NA","10","50","85","39","90","85","87.5","0.0033734321973863"
"World of Goo","PC","2008","Puzzle","NA","30","NA","10","40","90","26","85","607","87.5","0.002698745757909"
"Battlefield 1942","PC","2002","Shooter","10","10","NA","NA","30","89","27","86","327","87.5","0.0020240593184318"
"Winning Eleven: Pro Evolution Soccer 2007","PS2","2006","Sports","100","2390","1050","860","4390","86","9","89","33","87.5","0.29618734693051"
"NBA Street","PS2","2001","Sports","2190","220","NA","380","2790","89","22","86","39","87.5","0.18823751661415"
"NBA Ballers","PS2","2004","Sports","810","630","NA","210","1660","83","44","92","9","87.5","0.11199794895322"
"Fight Night 2004","PS2","2004","Fighting","1080","200","NA","200","1480","85","43","90","25","87.5","0.099853593042633"
"ESPN NFL Football","PS2","2003","Sports","270","210","NA","70","560","90","20","85","25","87.5","0.037782440610726"
"We Love Katamari","PS2","2005","Puzzle","260","200","NA","70","520","86","60","89","50","87.5","0.035083694852817"
"Viewtiful Joe","PS2","2004","Action","140","110","NA","40","280","90","34","85","35","87.5","0.018891220305363"
"Shadow Hearts: Covenant","PS2","2004","Role-Playing","120","90","NA","30","240","85","49","90","54","87.5","0.016192474547454"
"Uncharted 3: Drake's Deception","PS3","2011","Action","2770","2750","190","1030","6740","92","97","83","3702","87.5","0.45473866020767"
"Far Cry 3","PS3","2012","Shooter","880","1700","100","670","3350","90","32","85","40","87.5","0.22601995722488"
"The Beatles: Rock Band","PS3","2009","Misc","670","290","NA","150","1120","88","60","87","59","87.5","0.075564881221452"
"Metal Gear Solid V: The Phantom Pain","PS4","2015","Action","1090","1360","490","480","3410","93","86","82","3943","87.5","0.23006807586174"
"Rayman Legends","PS4","2014","Platform","220","640","NA","160","1010","90","6","85","525","87.5","0.068143330387203"
"Left 4 Dead 2","X360","2009","Shooter","2670","870","50","380","3970","89","76","86","680","87.5","0.26785051647247"
"Rock Band 2","X360","2008","Misc","1780","240","NA","180","2200","92","69","83","56","87.5","0.148431016685"
"The Beatles: Rock Band","X360","2009","Misc","970","230","NA","110","1300","89","76","86","27","87.5","0.087709237132043"
"Rock Band 3","X360","2010","Misc","730","90","NA","60","880","93","57","82","37","87.5","0.059372406673998"
"Tony Hawk's Underground","XB","2003","Sports","850","370","NA","50","1270","85","33","90","26","87.5","0.085685177813611"
"Madden NFL 2004","XB","2003","Sports","1020","20","NA","50","1090","92","27","83","48","87.5","0.073540821903021"
"Tony Hawk's Pro Skater 4","XB","2002","Sports","590","300","NA","40","930","90","25","85","20","87.5","0.062745838871385"
"Madden NFL 2003","XB","2002","Sports","670","20","NA","30","710","92","6","83","6","87.5","0.047902737202885"
"Jade Empire","XB","2005","Role-Playing","480","190","NA","30","700","89","84","86","3","87.5","0.047228050763408"
"MVP Baseball 2004","XB","2004","Sports","440","130","NA","20","590","90","30","85","9","87.5","0.039806499929158"
"Panzer Dragoon Orta","XB","2002","Shooter","160","50","40","10","260","90","40","85","64","87.5","0.017541847426409"
"NASCAR Thunder 2004","XB","2003","Racing","180","50","NA","10","230","85","4","90","5","87.5","0.015517788107977"
"World Series Baseball 2K3","XB","2003","Sports","110","30","NA","10","150","89","22","86","4","87.5","0.010120296592159"
"The Elder Scrolls V: Skyrim","PC","2011","Role-Playing","1160","2120","NA","600","3880","94","32","80","9073","87","0.26177833851717"
"Left 4 Dead 2","PC","2009","Shooter","NA","320","NA","40","360","89","55","85","2530","87","0.024288711821181"
"The Elder Scrolls IV: Oblivion","PC","2006","Role-Playing","10","200","NA","40","250","94","54","80","2454","87","0.016867160986931"
"Cities: Skylines","PC","2015","Simulation","NA","130","NA","10","140","85","60","89","404","87","0.0094456101526815"
"Battlefield 2","PC","2005","Shooter","NA","70","NA","10","80","90","55","84","837","87","0.005397491515818"
"Warhammer 40,000: Dawn of War","PC","2004","Strategy","10","30","NA","10","50","86","50","88","295","87","0.0033734321973863"
"IL-2 Sturmovik: 1946","PC","2006","Simulation","NA","40","NA","10","40","86","9","88","5","87","0.002698745757909"
"The Sims Deluxe","PC","2002","Simulation","10","20","NA","10","40","92","6","82","77","87","0.002698745757909"
"Divinity: Original Sin","PC","2014","Role-Playing","NA","20","NA","NA","20","87","59","87","2089","87","0.0013493728789545"
"Gran Turismo 4","PS2","2004","Racing","3010","10","1100","7530","11660","89","74","85","272","87","0.78668438843048"
"Tekken 5","PS2","2005","Fighting","930","1940","310","700","3870","88","62","86","229","87","0.2611036520777"
"Star Wars: Battlefront II","PS2","2005","Shooter","2180","1020","30","370","3590","84","30","90","268","87","0.24221243177233"
"Hot Shots Golf 3","PS2","2001","Sports","990","320","1380","200","2890","85","30","89","6","87","0.19498438100893"
"LEGO Star Wars II: The Original Trilogy","PS2","2006","Action","1850","640","10","190","2690","84","32","90","40","87","0.18149065221938"
"James Bond 007: Everything or Nothing","PS2","2004","Shooter","850","1060","90","320","2310","84","42","90","50","87","0.15585256751925"
"Onimusha 2: Samurai's Destiny","PS2","2002","Adventure","620","440","1060","130","2250","84","30","90","52","87","0.15180444888238"
"Need for Speed: Hot Pursuit 2","PS2","2002","Racing","1680","310","20","90","2110","89","30","85","92","87","0.1423588387297"
"Devil May Cry 3: Dante's Awakening","PS2","2005","Action","990","630","290","190","2090","84","60","90","202","87","0.14100946585075"
"Virtua Fighter 4","PS2","2002","Fighting","780","440","560","40","1810","94","36","80","84","87","0.12211824554538"
"Ace Combat 5: The Unsung War","PS2","2004","Simulation","880","340","320","180","1710","84","57","90","80","87","0.11537138115061"
"Twisted Metal: Black","PS2","2001","Racing","1190","170","NA","50","1410","90","5","84","98","87","0.095130787966293"
"Midnight Club 3: DUB Edition Remix","PS2","2006","Racing","970","40","NA","160","1160","85","9","89","53","87","0.078263626979361"
"Valkyrie Profile 2: Silmeria","PS2","2006","Role-Playing","40","30","390","10","470","84","45","90","59","87","0.031710262655431"
"Guilty Gear X2","PS2","2002","Fighting","90","70","160","20","350","87","30","87","34","87","0.023614025381704"
"World Series Baseball 2K3","PS2","2003","Sports","120","100","NA","30","250","87","20","87","9","87","0.016867160986931"
"TimeSplitters: Future Perfect","PS2","2005","Shooter","120","90","NA","30","240","84","39","90","7","87","0.016192474547454"
"Amplitude","PS2","2003","Misc","90","70","NA","20","180","86","35","88","26","87","0.012144355910591"
"LittleBigPlanet 2","PS3","2011","Platform","1830","1050","60","460","3390","90","86","84","657","87","0.22871870298279"
"Battlefield: Bad Company 2","X360","2010","Shooter","2100","1010","40","320","3470","88","75","86","869","87","0.23411619449861"
"Rock Band","X360","2008","Misc","1930","330","NA","210","2470","92","72","82","78","87","0.16664755055088"
"Fight Night Round 3","X360","2006","Fighting","1330","30","10","100","1470","86","67","88","264","87","0.099178906603156"
"The Elder Scrolls III: Morrowind","XB","2002","Role-Playing","2090","630","30","110","2860","87","34","87","NA","87","0.19296032169049"
"The Lord of the Rings: The Return of the King","XB","2003","Action","710","380","NA","50","1140","84","30","90","30","87","0.076914254100407"
"College Hoops 2K6","XB","2005","Sports","70","20","NA","NA","100","82","7","92","6","87","0.0067468643947725"
"World Soccer Winning Eleven 8 International","XB","2004","Sports","70","20","NA","NA","90","90","25","84","NA","87","0.0060721779552953"
"The Witcher 2: Assassins of Kings","PC","2011","Action","250","560","NA","140","960","88","76","85","4378","86.5","0.064769898189816"
"Total War: Shogun 2","PC","2011","Strategy","190","310","NA","90","600","90","62","83","80","86.5","0.040481186368635"
"Machinarium","PC","2009","Adventure","NA","90","NA","20","110","85","47","88","526","86.5","0.0074215508342498"
"Company of Heroes: Opposing Fronts","PC","2007","Strategy","10","30","NA","10","40","87","36","86","235","86.5","0.002698745757909"
"DiRT Rally","PC","2016","Racing","NA","30","NA","NA","30","86","33","87","288","86.5","0.0020240593184318"
"Guild Wars","PC","2005","Role-Playing","30","NA","NA","NA","30","89","53","84","455","86.5","0.0020240593184318"
"Medal of Honor: Frontline","PS2","2002","Shooter","2930","2750","170","990","6830","88","29","85","35","86.5","0.46081083816296"
"Kingdom Hearts","PS2","2002","Role-Playing","3640","1200","1490","70","6400","85","46","88","597","86.5","0.43179932126544"
