"Name","Platform","Year_of_Release","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count"
"Pok̩mon Platinum Version","DS","2008","Role-Playing","2.76","1.72","2.69","0.54","7.72","83","46","8.50","203"
"Grand Theft Auto: Liberty City Stories","PSP","2005","Action","2.9","2.81","0.24","1.73","7.69","88","65","7.60","451"
"Call of Duty: Advanced Warfare","PS4","2014","Shooter","2.81","3.48","0.14","1.23","7.66","83","39","5.70","1443"
"The Legend of Zelda: Ocarina of Time","N64","1998","Action","4.1","1.89","1.45","0.16","7.6","1","1","1.00","1"
"FIFA 17","PS4","2016","Sports","0.66","5.75","0.08","1.11","7.59","85","41","5.00","398"
"Crash Bandicoot 2: Cortex Strikes Back","PS","1997","Platform","3.78","2.17","1.31","0.31","7.58","1","1","1.00","1"
"Super Smash Bros. for Wii U and 3DS","3DS","2014","Fighting","3.27","1.37","2.43","0.48","7.55","1","1","1.00","1"
"Super Mario Galaxy 2","Wii","2010","Platform","3.56","2.35","0.98","0.62","7.51","97","87","9.10","1854"
"Super Mario Bros. 2","NES","1988","Platform","5.39","1.18","0.7","0.19","7.46","1","1","1.00","1"
"Call of Duty: Black Ops 3","XOne","2015","Shooter","4.59","2.11","0.01","0.68","7.39","1","1","1.00","1"
"Call of Duty: World at War","X360","2008","Shooter","4.81","1.88","0","0.69","7.38","84","84","7.60","580"
"Battlefield 3","X360","2011","Shooter","4.46","2.11","0.06","0.69","7.32","84","57","7.40","2142"
"Need for Speed Underground","PS2","2003","Racing","3.27","2.83","0.08","1.02","7.2","85","33","8.60","171"
"Just Dance","Wii","2009","Misc","3.48","2.99","0","0.73","7.2","49","21","8.00","110"
"Battlefield 3","PS3","2011","Shooter","2.85","2.89","0.35","1.08","7.17","85","38","7.50","1761"
"Fallout 4","PS4","2015","Role-Playing","2.53","3.27","0.24","1.13","7.16","87","58","6.50","4228"
"Tekken 3","PS","1998","Fighting","3.27","2.22","1.4","0.29","7.16","96","15","9.10","367"
"The Legend of Zelda: Twilight Princess","Wii","2006","Action","3.74","2.14","0.6","0.68","7.15","95","73","9.00","1658"
"Pokemon Sun/Moon","3DS","2016","Role-Playing","2.98","1.45","2.26","0.45","7.14","1","1","1.00","1"
"Crash Bandicoot 3: Warped","PS","1998","Platform","3.68","1.75","1.42","0.28","7.13","91","12","8.90","432"
"Mario Kart 8","WiiU","2014","Racing","3.15","2.15","1.28","0.51","7.09","88","82","9.10","1599"
"Super Smash Bros. Melee","GC","2001","Fighting","4.41","1.04","1.39","0.22","7.07","92","38","9.10","568"
"Mario Kart: Double Dash!!","GC","2003","Racing","4.12","1.77","0.87","0.19","6.95","1","1","1.00","1"
"Need for Speed Underground 2","PS2","2004","Racing","2.71","3.02","0.08","1.09","6.9","82","39","8.60","132"
"Medal of Honor: Frontline","PS2","2002","Shooter","2.93","2.75","0.17","0.99","6.83","88","29","8.50","135"
"Crash Bandicoot","PS","1996","Platform","3.23","2.35","0.94","0.3","6.82","1","1","1.00","1"
"Just Dance 4","Wii","2012","Misc","4.05","2.16","0","0.55","6.76","74","10","7.30","28"
"Gears of War 2","X360","2008","Shooter","4.15","1.9","0.06","0.64","6.75","93","90","7.70","2739"
"Uncharted 3: Drake's Deception","PS3","2011","Action","2.77","2.75","0.19","1.03","6.74","92","97","8.30","3712"
"Zumba Fitness","Wii","2010","Sports","3.45","2.59","0","0.66","6.71","1","1","1.00","1"
"Call of Duty 4: Modern Warfare","PS3","2007","Shooter","3.11","2.26","0.28","1.03","6.68","94","44","8.40","993"
"Uncharted 2: Among Thieves","PS3","2009","Action","3.27","2.2","0.21","0.98","6.66","96","105","8.80","5187"
"FIFA 12","PS3","2011","Sports","0.84","4.3","0.11","1.39","6.65","1","1","1.00","1"
"Big Brain Academy","DS","2005","Misc","1.66","2.75","1.6","0.62","6.62","74","45","7.40","27"
"The Legend of Zelda","NES","1986","Action","3.74","0.93","1.69","0.14","6.51","1","1","1.00","1"
"Red Dead Redemption","PS3","2010","Action","2.79","2.53","0.17","0.99","6.49","95","73","8.80","2456"
"FIFA 14","PS3","2013","Sports","0.78","4.24","0.07","1.37","6.47","86","37","4.30","576"
"Assassin's Creed III","PS3","2012","Action","2.64","2.52","0.16","1.12","6.45","85","41","6.90","1307"
"Donkey Kong Country Returns","Wii","2010","Platform","3.17","1.79","1.03","0.46","6.44","87","77","8.60","368"
"Halo: Combat Evolved","XB","2001","Shooter","4.98","1.3","0.08","0.07","6.43","97","68","8.60","1283"
"The Elder Scrolls V: Skyrim","PS3","2011","Role-Playing","2.55","2.6","0.25","1","6.41","92","16","6.40","2527"
"Pok̩mon Emerald Version","GBA","2004","Role-Playing","2.57","1.58","2.06","0.21","6.41","76","28","9.00","222"
"Kingdom Hearts","PS2","2002","Role-Playing","3.64","1.2","1.49","0.07","6.4","85","46","8.80","597"
"Pok̩mon Crystal Version","GB","2000","Role-Playing","2.55","1.56","1.29","0.99","6.39","1","1","1.00","1"
"Halo 3: ODST","X360","2009","Shooter","4.34","1.34","0.06","0.61","6.34","83","94","7.10","1163"
"Red Dead Redemption","X360","2010","Action","3.7","1.95","0.09","0.58","6.32","95","96","9.00","2316"
"Super Mario Sunshine","GC","2002","Platform","4.01","1.26","0.87","0.17","6.31","92","61","8.60","439"
"Street Fighter II: The World Warrior","SNES","1992","Fighting","2.47","0.83","2.87","0.12","6.3","1","1","1.00","1"
"World of Warcraft","PC","2004","Role-Playing","0.08","6.21","0","0","6.29","93","57","7.30","2182"
"Driver","PS","1999","Action","3.11","2.8","0.02","0.33","6.27","87","22","8.10","78"
"Gears of War 3","X360","2011","Shooter","4.05","1.59","0.07","0.5","6.21","91","96","7.80","1504"
"Kinect Sports","X360","2010","Sports","3.92","1.73","0.03","0.51","6.19","73","51","7.40","95"
"Gears of War","X360","2006","Shooter","3.54","1.88","0.07","0.6","6.09","94","88","8.30","2295"
"FIFA 15","PS4","2014","Sports","0.8","4.33","0.05","0.9","6.08","82","47","5.70","988"
"Metal Gear Solid 2: Sons of Liberty","PS2","2001","Action","2.45","2.01","0.87","0.72","6.05","96","42","8.70","1026"
"Sonic the Hedgehog 2","GEN","1992","Platform","4.47","1.2","0.16","0.19","6.03","1","1","1.00","1"
"Metal Gear Solid","PS","1998","Action","3.18","1.83","0.78","0.24","6.03","94","20","9.40","918"
"Metal Gear Solid 4: Guns of the Patriots","PS3","2008","Action","2.63","1.71","0.83","0.82","5.99","94","82","8.70","3558"
"Final Fantasy XII","PS2","2006","Role-Playing","1.88","0","2.33","1.74","5.95","92","64","7.60","972"
"The Last of Us","PS3","2013","Action","2.41","2.18","0.28","0.99","5.87","95","98","9.10","8003"
"LittleBigPlanet","PS3","2008","Platform","2.8","1.98","0.17","0.87","5.82","95","85","6.80","5311"
"Resident Evil 2","PS","1998","Action","1.88","1.47","2.02","0.45","5.82","89","13","9.20","364"
"Dragon Quest IX: Sentinels of the Starry Skies","DS","2009","Role-Playing","0.63","0.67","4.35","0.15","5.78","87","65","8.80","197"
"Tekken 2","PS","1996","Fighting","2.26","1.89","1.36","0.23","5.74","89","8","8.90","102"
"Destiny","PS4","2014","Shooter","2.49","2.07","0.16","0.92","5.64","76","95","6.10","5380"
"LEGO Star Wars: The Complete Saga","Wii","2007","Action","3.57","1.55","0","0.51","5.64","80","17","8.90","62"
"Cooking Mama","DS","2006","Simulation","3.07","1.91","0.07","0.57","5.63","67","35","7.20","21"
"Tetris","NES","1988","Puzzle","2.97","0.69","1.81","0.11","5.58","1","1","1.00","1"
"Super Smash Bros.","N64","1999","Fighting","2.95","0.6","1.97","0.04","5.55","1","1","1.00","1"
"Assassin's Creed II","PS3","2009","Action","2.54","1.93","0.21","0.86","5.55","91","70","8.60","1202"
"Assassin's Creed","X360","2007","Adventure","3.28","1.64","0.07","0.56","5.54","81","77","7.70","1074"
"Forza Motorsport 3","X360","2009","Racing","2.99","1.9","0.1","0.5","5.49","92","90","8.00","516"
"Super Mario Advance","GBA","2001","Platform","3.14","1.24","0.91","0.2","5.49","84","19","7.80","41"
"Monster Hunter Freedom Unite","PSP","2008","Role-Playing","0.47","0.55","4.13","0.34","5.48","81","48","8.70","124"
"Batman: Arkham City","PS3","2011","Action","2.71","1.85","0.11","0.81","5.48","96","42","8.60","2162"
"Grand Theft Auto V","XOne","2014","Action","2.81","2.19","0","0.47","5.48","97","14","7.90","764"
"Mario Kart: Super Circuit","GBA","2001","Racing","2.62","1.64","0.99","0.23","5.47","93","24","8.30","108"
"Super Mario World","GBA","2001","Platform","3.21","1.11","0.95","0.2","5.46","1","1","1.00","1"
"Pokemon Stadium","N64","1999","Strategy","3.18","1.24","0.94","0.09","5.45","1","1","1.00","1"
"Crash Bandicoot: The Wrath of Cortex","PS2","2001","Platform","2.07","2.29","0.24","0.82","5.42","66","22","7.10","156"
"Call of Duty: World at War","PS3","2008","Shooter","2.73","1.83","0","0.83","5.39","85","45","7.60","409"
"Uncharted 4: A Thief's End","PS4","2016","Shooter","1.85","2.5","0.19","0.85","5.38","93","113","7.90","7064"
"Dr. Mario","GB","1989","Puzzle","2.18","0.96","2","0.2","5.34","1","1","1.00","1"
"Final Fantasy XIII","PS3","2009","Role-Playing","1.74","1.21","1.87","0.51","5.33","83","83","7.30","2483"
"Pokemon Pinball","GB","1999","Misc","3.02","1.12","1.01","0.16","5.31","1","1","1.00","1"
"Final Fantasy IX","PS","2000","Role-Playing","1.62","0.77","2.78","0.14","5.3","94","22","8.90","779"
"Assassin's Creed III","X360","2012","Action","3.13","1.69","0.03","0.44","5.29","84","61","6.70","1196"
"Final Fantasy X-2","PS2","2003","Role-Playing","1.92","1.08","2.11","0.17","5.29","85","45","6.60","400"
"Donkey Kong 64","N64","1999","Platform","3.33","0.79","1.09","0.06","5.27","1","1","1.00","1"
"Call of Duty: Advanced Warfare","XOne","2014","Shooter","3.22","1.55","0.01","0.48","5.27","81","53","5.40","898"
"Minecraft","PS3","2014","Misc","2.03","2.37","0","0.87","5.26","1","1","1.00","1"
"Assassin's Creed II","X360","2009","Action","3.11","1.55","0.08","0.51","5.26","90","82","8.80","1305"
"Tomb Raider II","PS","1997","Action","2.3","2.46","0.2","0.28","5.24","85","13","1.00","1"
"Madden NFL 2004","PS2","2003","Sports","4.26","0.26","0.01","0.71","5.23","94","29","8.50","140"
"Tomodachi Life","3DS","2013","Simulation","0.97","2.11","1.9","0.24","5.23","1","1","1.00","1"
"New Super Mario Bros. U","WiiU","2012","Platform","2.3","1.34","1.27","0.32","5.22","84","70","8.10","733"
"Dragon Quest VIII: Journey of the Cursed King","PS2","2004","Role-Playing","0.65","0.75","3.61","0.2","5.21","89","63","8.80","245"
"Super Mario Bros. 3","GBA","2003","Platform","2.93","1.25","0.83","0.2","5.2","1","1","1.00","1"
"Professor Layton and the Curious Village","DS","2007","Puzzle","1.21","2.43","1.03","0.52","5.19","85","72","8.60","147"
"Super Mario Land 3: Wario Land","GB","1994","Platform","2.49","0.98","1.57","0.15","5.19","1","1","1.00","1"
"FIFA Soccer 13","X360","2012","Action","1.09","3.47","0.03","0.57","5.16","90","48","6.10","403"
"Donkey Kong Country 2: Diddy's Kong Quest","SNES","1995","Platform","2.1","0.74","2.2","0.11","5.15","1","1","1.00","1"
"Diablo III","PC","2012","Role-Playing","2.44","2.16","0","0.54","5.14","88","86","4.00","9629"
"Medal of Honor: Rising Sun","PS2","2003","Shooter","1.98","2.23","0.13","0.8","5.13","68","30","7.60","100"
"Kirby's Dream Land","GB","1992","Platform","2.71","0.61","1.7","0.11","5.13","1","1","1.00","1"
"Microsoft Flight Simulator","PC","1996","Simulation","3.22","1.69","0","0.2","5.12","1","1","1.00","1"
"Guitar Hero II","PS2","2006","Misc","3.81","0.63","0","0.68","5.12","92","69","8.50","112"
"Fable III","X360","2010","Role-Playing","3.59","1.08","0.05","0.38","5.1","80","88","6.50","604"
"Mario & Sonic at the Olympic Games","DS","2008","Sports","1.63","2.45","0.44","0.57","5.09","1","1","1.00","1"
"Resident Evil 5","PS3","2009","Action","1.96","1.41","1.08","0.64","5.09","84","76","7.50","667"
"The Legend of Zelda: Phantom Hourglass","DS","2007","Action","1.85","1.8","0.95","0.48","5.08","90","57","8.00","416"
"Super Mario Bros.","GB","1999","Platform","3.4","1.3","0.15","0.22","5.07","1","1","1.00","1"
"FIFA Soccer 11","PS3","2010","Sports","0.61","3.28","0.06","1.12","5.07","89","51","8.00","233"
"Resident Evil","PS","1996","Action","2.05","1.16","1.11","0.73","5.05","91","8","9.00","266"
"Grand Theft Auto: Vice City Stories","PSP","2006","Action","1.7","1.99","0.16","1.18","5.03","86","50","8.00","150"
"Tony Hawk's Pro Skater","PS","1999","Sports","3.42","1.38","0.02","0.2","5.02","92","18","9.20","69"
"Warzone 2100","PS","1999","Strategy","2.79","1.89","0","0.33","5.01","1","1","1.00","1"
"Spyro the Dragon","PS","1998","Platform","3.36","1.36","0.07","0.21","5","1","1","1.00","1"
"Guitar Hero III: Legends of Rock","PS2","2007","Misc","3.49","0.01","0.01","1.48","4.98","82","24","8.20","46"
"Link's Crossbow Training","Wii","2007","Shooter","3.05","1.17","0.29","0.46","4.98","68","34","7.10","47"
"Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness","DS","2007","Role-Playing","1.83","1.19","1.54","0.37","4.93","1","1","1.00","1"
"Fallout 3","X360","2008","Role-Playing","3.4","0.99","0.09","0.45","4.93","93","84","8.50","1655"
"Uncharted: Drake's Fortune","PS3","2007","Action","2.31","1.72","0.12","0.77","4.92","88","66","8.10","2306"
"Madden NFL 06","PS2","2005","Sports","3.98","0.26","0.01","0.66","4.91","88","29","8.00","121"
"Diddy Kong Racing","N64","1997","Racing","2.91","0.99","0.89","0.1","4.88","1","1","1.00","1"
"Monster Hunter Freedom 3","PSP","2010","Role-Playing","0","0","4.87","0","4.87","1","1","1.00","1"
"Super Smash Bros. for Wii U and 3DS","WiiU","2014","Fighting","2.6","1.08","0.81","0.38","4.87","1","1","1.00","1"
"Dr. Mario","NES","1990","Puzzle","2.62","0.6","1.52","0.1","4.85","1","1","1.00","1"
"StarCraft II: Wings of Liberty","PC","2010","Strategy","2.57","1.68","0","0.58","4.84","93","82","8.20","3052"
"Assassin's Creed","PS3","2007","Adventure","1.91","2","0.09","0.82","4.82","81","40","7.30","769"
"God of War III","PS3","2010","Action","2.74","1.33","0.12","0.61","4.8","92","101","8.70","2633"
"Crash Team Racing","PS","1999","Racing","2.57","1.57","0.44","0.21","4.79","88","20","9.00","233"
"LEGO Star Wars: The Complete Saga","DS","2007","Action","2.83","1.48","0","0.45","4.76","80","9","5.40","46"
"Driver 2","PS","2000","Action","2.36","2.1","0.02","0.25","4.73","62","14","7.70","92"
"Batman: Arkham City","X360","2011","Action","2.99","1.27","0.04","0.42","4.73","94","87","8.70","1472"
"The Last of Us","PS4","2014","Action","1.88","2","0.07","0.77","4.71","1","1","1.00","1"
"The Simpsons: Hit & Run","PS2","2003","Racing","1.73","2.19","0","0.79","4.7","1","1","1.00","1"
"Tony Hawk's Pro Skater 2","PS","2000","Sports","3.05","1.41","0.02","0.2","4.68","98","19","7.70","299"
"The Lord of the Rings: The Two Towers","PS2","2002","Action","1.94","1.95","0.08","0.7","4.67","82","32","8.20","78"
"Tomb Raider","PS","1996","Action","2.29","1.97","0.13","0.24","4.63","91","13","8.60","147"
"Animal Crossing: City Folk","Wii","2008","Simulation","1.82","1.12","1.32","0.36","4.62","73","50","7.60","119"
"Uncharted: The Nathan Drake Collection","PS4","2015","Action","2.07","1.71","0.08","0.76","4.62","86","78","8.10","1264"
"The Legend of Zelda: A Link to the Past","SNES","1991","Action","2.42","0.91","1.15","0.13","4.61","1","1","1.00","1"
"The Legend of Zelda: The Wind Waker","GC","2002","Action","2.6","0.99","0.89","0.13","4.6","96","80","8.90","968"
"Guitar Hero III: Legends of Rock","Wii","2007","Misc","3.04","1.11","0","0.43","4.6","86","36","8.40","87"
"Luigi's Mansion: Dark Moon","3DS","2013","Action","1.8","1.39","1.11","0.29","4.59","86","74","8.40","458"
"Forza Motorsport 4","X360","2011","Racing","2.08","1.97","0.06","0.46","4.57","91","83","8.20","617"
"Mario & Sonic at the Olympic Winter Games","Wii","2009","Sports","1.87","1.96","0.22","0.48","4.53","1","1","1.00","1"
"Madden NFL 2005","PS2","2004","Sports","4.18","0.26","0.01","0.08","4.53","91","30","7.90","78"
"Guitar Hero III: Legends of Rock","X360","2007","Misc","3.19","0.91","0.01","0.42","4.53","85","69","7.90","165"
"Pitfall!","Atari 2600","1981","Platform","4.21","0.24","0","0.05","4.5","1","1","1.00","1"
"Madden NFL 07","PS2","2006","Sports","3.63","0.24","0.01","0.61","4.49","84","29","8.20","39"
"Halo 5: Guardians","XOne","2015","Shooter","2.78","1.27","0.03","0.41","4.48","84","101","6.40","2438"
"Spider-Man: The Movie","PS2","2002","Action","2.71","1.51","0.03","0.23","4.48","76","25","7.90","41"
"Dragon Quest VII: Warriors of Eden","PS","2000","Role-Playing","0.2","0.14","4.1","0.02","4.47","1","1","1.00","1"
"Call of Duty: Infinite Warfare","PS4","2016","Shooter","1.61","2","0.15","0.71","4.46","77","82","3.40","1129"
"God of War","PS2","2005","Action","2.71","1.29","0.02","0.43","4.45","94","75","8.90","997"
"Splatoon","WiiU","2015","Shooter","1.54","1.18","1.46","0.26","4.43","81","88","8.50","1184"
"Nintendo Land","WiiU","2012","Misc","2.52","1.11","0.46","0.33","4.42","77","61","7.90","471"
"Tony Hawk's Pro Skater 3","PS2","2001","Sports","2.66","1.29","0.01","0.46","4.41","97","34","7.50","298"
